Date	Open	High	Low	Close 	 Adj Close 	 Volume
Oct 28, 2024	153.50	155.20	150.61	150.69	150.69	20,846,600
Oct 25, 2024	156.20	157.48	154.52	155.01	155.01	8,153,000
Oct 24, 2024	152.61	155.89	151.98	155.20	155.20	9,774,400
Oct 23, 2024	160.00	161.47	153.53	157.06	157.06	15,931,500
Oct 22, 2024	160.50	160.66	158.37	159.88	159.88	7,380,800
Oct 21, 2024	160.25	163.44	158.36	159.82	159.82	13,277,600
Oct 18, 2024	155.84	156.37	153.90	155.00	155.00	6,030,200
Oct 17, 2024	155.00	157.14	154.25	155.31	155.31	6,291,800
Oct 16, 2024	151.91	154.99	151.34	154.90	154.90	8,356,200
Oct 15, 2024	150.50	153.95	148.55	152.35	152.35	11,241,700
Oct 14, 2024	148.00	150.09	146.02	148.99	148.99	9,737,000
Oct 11, 2024	146.30	151.12	146.30	151.02	151.02	10,688,600
Oct 10, 2024	149.07	149.11	146.26	146.62	146.62	11,275,800
Oct 9, 2024	152.05	152.19	148.80	149.37	149.37	12,488,500
Oct 8, 2024	155.99	156.70	154.14	154.65	154.65	5,336,300
Oct 7, 2024	155.00	158.76	154.68	155.91	155.91	6,267,900
Oct 4, 2024	152.26	155.00	150.85	155.00	155.00	6,657,500
Oct 3, 2024	152.12	152.74	150.51	150.52	150.52	5,704,800
Oct 2, 2024	153.76	154.85	152.84	152.89	152.89	4,357,000
Oct 1, 2024	151.46	156.40	149.49	154.22	154.22	12,588,800
Sep 30, 2024	154.79	155.30	151.24	152.04	152.04	10,902,200
Sep 27, 2024	155.37	157.33	154.39	156.32	156.32	7,637,000
Sep 26, 2024	153.94	157.33	152.66	154.58	154.58	11,414,400
Sep 25, 2024	156.42	157.22	152.04	152.22	152.22	9,587,700
Sep 24, 2024	155.80	155.90	153.69	155.81	155.81	7,414,900
Sep 23, 2024	153.00	158.43	151.65	156.30	156.30	12,476,800
Sep 20, 2024	154.01	154.64	152.60	153.29	153.29	13,919,400
Sep 19, 2024	157.00	157.18	154.27	154.59	154.59	9,570,000
Sep 18, 2024	157.00	158.45	154.80	155.11	155.11	7,714,400
Sep 17, 2024	156.17	158.88	155.14	156.39	156.39	8,123,200
Sep 16, 2024	156.25	157.76	154.02	155.55	155.55	9,955,200
Sep 13, 2024	159.78	162.89	155.60	156.77	156.77	19,003,400
Sep 12, 2024	159.42	163.50	159.06	162.77	162.77	4,756,400
Sep 11, 2024	159.79	161.87	156.10	161.33	161.33	6,664,800
Sep 10, 2024	162.61	163.90	157.93	160.07	160.07	6,367,100
Sep 9, 2024	162.30	164.55	161.11	162.91	162.91	9,091,500
Sep 6, 2024	162.50	162.85	156.70	157.62	157.62	7,328,600
Sep 5, 2024	164.15	164.62	160.10	162.15	162.15	4,717,500
Sep 4, 2024	160.28	166.70	160.28	163.22	163.22	7,316,300
Sep 3, 2024	167.03	169.60	158.30	161.02	161.02	17,925,400
Aug 30, 2024	173.14	174.36	171.49	173.74	173.74	4,146,200
Aug 29, 2024	171.71	175.28	170.62	172.26	172.26	4,119,500
Aug 28, 2024	172.30	174.25	170.15	170.71	170.71	4,550,300
Aug 27, 2024	173.62	173.93	171.25	173.05	173.05	3,295,800
Aug 26, 2024	173.00	174.92	172.30	173.48	173.48	4,034,300
Aug 23, 2024	173.88	176.92	173.17	174.96	174.96	4,405,900
Aug 22, 2024	173.00	175.21	172.30	172.76	172.76	2,788,000
Aug 21, 2024	173.00	174.20	171.04	173.43	173.43	4,493,600
Aug 20, 2024	176.49	177.50	170.04	172.10	172.10	9,549,100
Aug 19, 2024	180.04	180.70	177.63	179.64	179.64	3,894,200
Aug 16, 2024	176.30	180.51	176.30	179.99	179.99	6,731,500
Aug 15, 2024	170.00	176.56	169.98	176.41	176.41	5,942,200
Aug 14, 2024	167.89	169.75	167.33	168.50	168.50	3,852,700
Aug 13, 2024	164.50	168.88	162.62	168.76	168.76	6,475,500
Aug 12, 2024	167.73	168.05	163.52	164.13	164.13	4,715,600
Aug 9, 2024	168.39	169.85	166.90	167.91	167.91	3,635,600
Aug 8, 2024	164.23	169.35	164.00	168.87	168.87	6,063,800
Aug 7, 2024	167.00	167.98	162.99	163.24	163.24	5,186,400
Aug 6, 2024	168.89	169.19	163.39	165.04	165.04	5,817,300
Aug 5, 2024	162.52	167.68	162.50	167.03	167.03	9,255,100
Aug 2, 2024	175.22	175.46	167.25	169.95	169.95	11,742,800
Aug 1, 2024	190.00	191.17	176.69	178.31	178.31	13,887,000
Jul 31, 2024	189.88	196.95	183.86	190.60	190.60	15,417,000
